item,mean,median,sd,pct_ge4
B1,4.71,5,0.47,100
B2,4.53,5,0.62,94
B3,4.53,5,0.51,100
B4,4.35,4,0.49,100
B5,4.24,4,0.44,100
B6,4.53,5,0.62,94
B7,4.18,4,0.53,94
B8,4.29,4,0.59,94
